Tipo,Representante_Nov_2015,Género,Partido
Distrito 10,José Pedro Kumamoto Aguilar,H,INDEPENDIENTE
Distrito 5,Ramón Demetrio Guerrero Martínez,H,MC
Distrito 6,Augusto Valencia López,H,MC
Distrito 7,Ismael del Toro Castro,H,MC
Distrito 8,Héctor Alejandro Hermosillo González,H,MC
Distrito 9,Martha Villanueva Núñez,M,MC
Distrito 11,Kehila Abigail Ku Escalante,M,MC
Distrito 12,Juan Carlos Anguiano Orozco,H,MC
Distrito 13,Mario Hugo Castellanos Ibarra,H,MC
Distrito 14,María del Consuelo Robles Sierra,M,MC
Plurinominal15,María Elena de Anda Gutiérrez,M,MC
Plurinominal16,Hugo Manuel Luna Vázquez,H,MC
Plurinominal17,Adriana Gabriela Medina Ortiz,M,MC
Plurinominal18,Salvador Caro Cabrera,H,MC
Plurinominal19,Hugo Rodríguez Díaz,H,MC
Plurinominal7,Felipe de Jesús Romo Cuéllar,H,PAN
Plurinominal8,Isaías Cortés Berumen,H,PAN
Plurinominal9,Miguel Ángel Monraz Ibarra,H,PAN
Plurinominal10,Irma de Anda Licea,M,PAN
Plurinominal11,María del Pilar Pérez Chavira,M,PAN
Plurinominal13,José García Mora,H,PANAL
Plurinominal1,Saúl Galindo Plazola,H,PRD
Plurinominal2,Mónica Almeida López,M,PRD
Distrito 1,Antonio López Orózco,H,PRI
Distrito 2,Hugo René Ruíz Esparza Hermosillo,H,PRI
Distrito 4,Salvador Arellano Guzmán,H,PRI
Distrito 15,María del Refugio Ruíz Moreno,M,PRI
Distrito 16,Liliana Guadalupe Morones Vargas,M,PRI
Distrito 18,Juana Ceballos Guzmán,M,PRI
Distrito 19,Martha Susana Barajas del Toro,M,PRI
Distrito 20,Edgar Oswaldo Bañales Orozco,H,PRI
Plurinominal3,Cecilia González Gómez,M,PRI
Plurinominal4,Jorge Arana Arana,H,PRI
Plurinominal5,María del Rocío Corona Nakamura,M,PRI
Plurinominal6,Hugo Contreras Zepeda,H,PRI
Plurinominal14,Claudia Delgadillo González,M,PRI
Distrito 3,Omar Hernández Hernández,H,PVEM
Distrito 17,Erika Lizbeth Ramírez Pérez,M,PVEM
Plurinominal12,Enrique Aubry de Castro Palomino,H,PVEM